any,1100,1149,3120,3745,4454,4474,4707,5320,6377,7062,7535,8073,10209,10339,10611,11931,14309,18176,20918,21693,27797,28723,31450,34700
Y,419,479,419,519,479,479,479,479,549,479,479,499,419,479,,499,479,479,419,419,,479,499,419
Y,100,139,100,149,139,139,139,139,139,139,139,149,100,139,,149,139,139,100,100,,139,149,100
Y,149,100,149,149,100,100,100,100,139,100,100,149,149,100,,149,100,100,149,149,,100,149,149
Y,199,179,199,179,179,179,179,179,189,179,179,179,199,179,,179,179,179,199,199,,179,179,199
Y,219,199,219,199,199,199,199,199,199,199,199,199,219,199,,199,199,199,219,219,,199,199,219
Y,100,139,100,149,139,139,139,139,139,139,139,149,100,139,,149,139,139,100,100,,139,149,100
Y,149,100,149,149,100,100,100,100,139,100,100,149,149,100,,149,100,100,149,149,,100,149,149
Y,199,179,199,179,179,179,179,179,189,179,179,179,199,179,,179,179,179,199,199,,179,179,199
Y,219,199,219,199,199,199,199,199,199,199,199,199,219,199,,199,199,199,219,219,,199,199,219
Y,30,30,30,30,30,30,30,30,40,30,30,30,30,30,,30,30,30,30,30,,30,30,30
Y,30,30,30,30,30,30,30,30,50,30,30,30,30,30,,30,30,30,30,30,,30,30,30
Y,169,189,169,199,189,189,189,189,189,189,189,189,169,189,,189,189,189,169,169,,189,189,169
Y,100,139,100,149,139,139,139,139,139,139,139,149,100,139,,149,139,139,100,100,,139,149,100
Y,149,100,149,149,100,100,100,100,139,100,100,149,149,100,,149,100,100,149,149,,100,149,149
Y,199,179,199,179,179,179,179,179,189,179,179,179,199,179,,179,179,179,199,199,,179,179,199
Y,219,199,219,199,199,199,199,199,199,199,199,199,219,199,,199,199,199,219,219,,199,199,219
Y,60,68,60,68,68,68,68,68,68,68,68,68,60,68,,68,68,68,60,60,,68,68,60
Y,15,,15,,,,,,15,,,,15,,,,,,15,15,,,,15
Y,30,50,30,60,50,50,50,50,20,50,50,60,30,50,,60,50,50,30,30,,50,60,30
Y,30,25,30,25,25,25,25,25,29,25,25,25,30,25,,25,25,25,30,30,,25,25,30
Y,30,50,30,60,50,50,50,50,40,50,50,60,30,50,,60,50,50,30,30,,50,60,30
Y,489,569,489,589,539,569,569,559,499,559,539,579,469,539,,579,539,539,489,489,,539,579,489
Y,30,40,39,75,40,40,40,40,40,40,40,75,39,40,,75,40,40,30,30,,40,75,30
Y,399,589,479,579,589,589,589,589,399,589,589,579,479,589,,579,589,589,399,399,,589,579,399
Y,499,719,579,799,719,719,719,719,509,719,719,799,579,719,,799,719,719,499,499,,719,799,499
Y,239,279,239,289,279,279,279,279,279,279,279,279,239,279,,279,279,279,239,239,,279,279,239
Y,259,319,259,329,319,319,319,319,299,319,319,319,259,319,,319,319,319,259,259,,319,319,259
Y,239,279,239,289,279,279,279,279,279,279,279,279,239,279,,279,279,279,239,239,,279,279,239
Y,259,319,259,329,319,319,319,319,299,319,319,319,259,319,,319,319,319,259,259,,319,319,259
Y,100,,,,,,,,100,,,,,,,,,,100,100,,,,100
Y,100,139,100,149,139,139,139,139,139,139,139,149,100,139,,149,139,139,100,100,,139,149,100
Y,149,100,149,149,100,100,100,100,139,100,100,149,149,100,,149,100,100,149,149,,100,149,149
Y,199,179,199,179,179,179,179,179,189,179,179,179,199,179,,179,179,179,199,199,,179,179,199
Y,219,199,219,199,199,199,199,199,199,199,199,199,219,199,,199,199,199,219,219,,199,199,219
Y,229,200,229,200,200,200,200,200,239,200,200,200,229,200,,200,200,200,229,239,,200,200,229
Y,309,259,309,259,259,259,259,259,309,259,259,259,309,259,,259,259,259,309,309,,259,259,309
Y,359,299,359,299,299,299,299,299,379,299,299,299,359,299,,299,299,299,359,369,,299,299,359
Y,269,299,269,299,299,299,299,299,259,299,299,299,269,299,,299,299,299,269,269,,299,299,269
Y,359,349,359,349,349,349,349,349,369,349,349,349,359,349,,349,349,349,359,359,,349,349,359
Y,419,419,419,419,419,419,419,419,419,419,419,419,419,419,,419,419,419,419,419,,419,419,419
Y,269,299,269,299,299,299,299,299,259,299,299,299,269,299,,299,299,299,269,269,,299,299,269
Y,359,349,359,349,349,349,349,349,369,349,349,349,359,349,,349,349,349,359,359,,349,349,359
Y,1419,1699,1429,1629,1719,1729,1729,1729,1519,1729,1699,1599,1399,1729,,1599,1729,1699,1429,1399,,1699,1599,1429
Y,419,419,419,419,419,419,419,419,419,419,419,419,419,419,,419,419,419,419,419,,419,419,419
Y,269,299,269,299,299,299,299,299,259,299,299,299,269,299,,299,299,299,269,269,,299,299,269
Y,359,349,359,349,359,349,349,349,339,349,359,349,359,349,,349,349,359,359,359,,359,349,359
Y,419,399,419,419,399,399,399,399,399,399,399,419,419,399,,419,399,399,419,419,,399,419,419
