any,308,589,706,719,867,1105,2108,2204,2929,2933,3320,3334,3411,4010,4037,4120,4419,5065,5231,5688,5861,5997,6048,6232,6343,6384,6396,6408,6805,7490,7971,8209,10047,10299,10437,10575,10781,10803,11046,11107,11193,11456,11462,11655,11735,11854,11855,11945,12328,13504,14202,14234,14285,14294,14997,15151,15628,15629,15710,16556,16909,17330,17863,17961,17972,18187,18188,19334,19335,19635,20553,20695,20759,20816,22179,22757,22758,22943,23491,23894,24037,24042,25733,26133,27439,27739,28862,28879,28980,29589,29590,30203,30204,30363,30706,30707,31044,31125,31301,31431,31437,31466,31710,31840,32035,32093,33152,33425,33534,33930,34265,34272,34870,35201,35427,36055
Y,139,139,150,150,149,150,149,150,149,150,149,149,149,149,150,149,149,150,150,149,149,149,150,149,149,149,149,149,149,149,160,149,149,150,149,149,150,149,150,149,150,149,149,150,139,149,149,149,159,140,149,149,149,150,149,149,150,139,149,149,149,149,139,149,149,159,150,149,139,149,149,150,149,139,149,149,149,149,139,149,149,149,149,149,150,,,,139,,149,,,,,,,,,,149,,149,,169,149,150,149,,150,149,140,149,,150,149
Y,139,159,135,145,149,150,139,135,100,145,149,140,139,149,145,139,149,150,135,149,119,139,145,139,129,149,149,149,139,139,225,139,139,145,100,79,140,100,140,139,140,139,79,145,129,149,149,179,215,135,129,,149,145,129,179,135,159,139,119,139,149,159,149,139,159,140,139,129,89,149,135,100,149,79,139,149,149,159,149,149,139,149,139,135,,,,139,,139,,,,,,,,,,149,,139,,139,139,135,149,,135,100,135,139,,135,79
Y,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,559,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,,,,300,,300,,,,,,,,,,300,,300,,300,300,300,300,,300,300,300,300,,300,300
Y,429,399,430,420,449,455,459,430,419,445,399,459,429,449,430,439,429,445,410,399,449,439,430,419,439,429,449,449,439,439,535,459,439,435,449,389,440,459,440,449,430,429,399,450,559,459,439,439,539,430,419,439,399,460,459,529,440,399,449,439,399,399,399,449,439,399,440,439,399,399,429,425,449,389,399,449,399,439,399,439,439,429,439,459,450,,,,389,,449,,,,,,,,,,439,,399,,429,449,435,399,,430,459,460,439,,410,399
Y,519,469,495,480,,505,,490,,515,,489,459,,480,,,495,480,,,,470,459,,,,,,,569,,,485,,489,470,,500,,495,,499,495,579,,,,589,480,439,,,495,,,490,479,449,,429,,529,,,,495,,469,499,,480,,489,499,,,449,479,,,,459,,440,,,,459,,,,,,,,,,,,,,,,,,495,,,520,,495,,,480,489
Y,469,399,450,425,499,440,499,430,449,450,469,430,399,499,430,439,479,450,415,479,469,459,430,399,459,479,499,499,469,459,519,459,459,410,489,449,420,459,420,459,430,479,439,440,549,489,479,439,569,430,399,449,499,440,469,499,440,439,399,449,399,479,479,499,469,489,430,479,429,449,479,450,459,459,459,469,479,399,429,489,449,479,419,469,420,,,,439,,449,,,,,,,,,,489,,479,,449,469,430,499,,430,499,430,459,,410,449
Y,209,219,230,210,,230,,210,259,230,,210,229,,220,249,,230,200,,259,,210,229,239,,,,,,329,,,235,239,209,210,239,260,,210,,209,230,299,,,249,329,220,229,289,,235,249,339,220,199,229,239,229,,199,,,,215,,219,209,,210,239,199,209,,,229,189,,259,,319,,220,,,,219,,,,,,,,,,,,,,,,,,220,,,220,259,210,,,230,170
Y,839,839,975,985,949,980,969,975,899,980,949,980,919,949,980,899,929,980,960,959,899,929,975,929,899,929,949,949,939,929,1210,929,929,970,899,959,980,929,980,929,970,949,979,990,1069,969,919,939,1210,975,929,949,949,990,929,959,970,839,919,919,919,919,819,949,929,939,980,929,869,969,939,960,899,819,979,929,919,929,829,949,919,949,959,919,955,,,,849,,929,,,,,,,,,,939,,929,,929,929,965,929,,960,899,975,929,,980,959
Y,759,769,920,920,909,915,899,900,839,915,879,915,859,909,900,829,869,915,880,879,819,879,900,859,819,869,909,909,859,879,1085,869,879,905,819,899,905,829,910,879,895,869,919,915,1009,889,859,859,1085,895,879,859,869,910,819,879,905,779,879,819,859,859,779,909,879,849,900,889,799,909,869,895,839,779,919,879,869,859,759,879,839,869,889,849,870,,,,789,,879,,,,,,,,,,849,,849,,879,889,905,849,,885,849,895,869,,900,899
Y,549,559,650,650,639,645,639,650,599,645,639,639,579,639,650,619,609,645,635,639,599,559,635,579,599,609,639,639,619,559,729,559,559,635,609,629,650,599,640,559,635,629,649,645,669,639,609,599,729,650,589,619,609,645,619,599,635,529,579,619,579,609,519,639,559,609,650,559,519,639,629,635,619,529,649,559,609,579,579,619,599,629,599,609,615,,,,499,,559,,,,,,,,,,609,,609,,559,559,650,609,,635,619,635,559,,650,629
Y,59,59,30,30,39,20,39,30,,20,39,25,29,39,30,,39,20,30,39,,,30,29,,39,39,39,39,,30,,,30,,,30,,30,,30,39,,20,39,39,39,,25,30,29,,39,30,,,30,59,29,,29,39,59,39,,39,30,,39,,39,30,,59,,,39,29,59,39,,39,,39,30,,,,39,,,,,,,,,,,,39,,39,,,,30,39,,30,,30,,,30,
Y,569,499,560,540,539,550,569,530,549,550,499,559,529,539,530,539,539,540,540,499,539,539,540,529,549,539,539,539,549,549,645,559,539,525,539,559,560,569,540,549,530,519,589,540,679,539,499,529,659,520,529,539,529,540,529,729,530,459,529,539,529,529,499,539,549,549,570,549,499,559,569,500,539,479,599,549,499,529,499,529,549,549,539,529,580,,,,499,,539,,,,,,,,,,539,,529,,549,549,550,539,,540,539,540,549,,530,559
Y,759,779,885,900,829,885,849,885,859,895,829,915,849,829,880,849,819,895,875,829,859,859,890,859,839,819,829,829,819,859,1075,859,869,890,849,879,890,839,875,859,905,819,879,900,999,839,809,849,1085,875,839,879,829,900,849,899,885,789,849,869,839,809,769,829,859,829,890,859,819,879,809,875,829,779,879,869,819,859,779,829,859,819,869,809,870,,,,819,,859,,,,,,,,,,829,,819,,859,869,900,819,,875,859,900,859,,880,869
Y,689,699,830,830,789,820,779,810,799,830,749,845,789,789,800,799,759,830,795,769,799,819,815,789,759,759,789,789,739,809,950,799,819,825,779,799,815,799,810,809,830,739,819,820,939,789,749,789,955,795,799,799,759,820,769,819,820,749,799,799,779,749,729,789,819,779,810,819,769,799,739,810,759,729,839,819,769,789,699,769,799,739,759,739,785,,,,739,,809,,,,,,,,,,739,,739,,809,829,840,739,,800,769,815,799,,800,829
Y,459,469,545,545,529,565,529,545,549,545,499,559,499,529,535,519,499,545,535,499,529,489,535,499,499,499,529,529,479,489,575,479,489,540,569,529,545,529,520,489,560,499,559,535,579,519,479,499,579,535,489,559,479,535,539,529,535,489,499,549,489,499,459,529,489,519,545,489,479,559,479,535,529,499,559,489,519,499,499,519,559,499,499,479,515,,,,459,,499,,,,,,,,,,479,,499,,479,499,570,499,,535,559,545,479,,535,549
Y,119,119,90,90,99,65,99,90,109,75,99,90,50,99,90,109,99,70,90,99,119,59,90,50,89,99,99,99,99,59,115,59,59,90,99,119,90,109,90,59,90,99,119,65,69,99,99,99,119,90,50,99,99,90,119,69,90,119,50,79,50,99,139,99,59,99,90,59,59,119,99,90,99,119,119,59,99,50,139,99,99,99,99,99,90,,,,69,,79,,,,,,,,,,99,,99,,59,59,90,99,,90,109,90,59,,90,119
Y,329,319,315,,319,315,329,,,315,279,,,319,,,289,315,,279,,329,,,,279,319,319,329,329,,329,329,,,299,,,,329,,279,299,315,529,279,289,,,,,,279,,,,,299,,,,279,329,319,329,279,,329,299,299,299,,,289,299,329,289,,299,279,,279,,279,,,,,299,,329,,,,,,,,,,299,,279,,329,329,,279,,,,,329,,,299
Y,549,479,530,,569,520,579,,,520,549,,,569,,,549,520,,549,,529,,,,559,569,569,559,529,,529,529,,,519,,,,529,,549,519,520,619,559,549,,,,,,559,,,,,519,,,,549,549,569,529,559,,529,519,519,559,,,539,529,529,549,,519,559,,559,,549,,,,,519,,529,,,,,,,,,,549,,559,,529,529,,559,,,,,529,,,529
Y,299,299,285,290,,280,,280,319,290,,299,269,,280,369,,280,295,,,,285,269,,,,,,,445,,,290,,,290,319,295,,290,,,295,339,,,339,439,290,269,,,290,,,295,359,289,319,279,,299,,,,290,,299,,,270,299,279,,,,269,299,,319,,319,,295,,,,299,,,,,,,,,,,,,,,,,,295,,,295,299,290,,,290,
Y,1549,1549,,,,1775,,,1400,1775,,,,,,1400,,1775,,,1400,,,,1400,,,,,,,,,,1400,,,1400,,,,,,1775,,,,1400,,,,1400,,,1400,,,1549,,1400,,,1549,,,,,,,,,,1400,1549,,,,,1549,,1400,,1499,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,,,,,
Y,229,239,215,215,269,215,269,215,239,215,269,215,259,269,215,239,269,215,215,269,239,269,215,259,239,269,269,269,269,269,330,269,269,215,239,269,215,239,215,269,215,269,269,215,329,269,269,239,330,215,259,,269,215,239,259,215,219,259,200,259,269,269,269,269,269,215,269,269,269,269,,239,239,269,269,269,259,269,269,279,269,219,269,215,,,,,,,,,,,,,,,,269,,269,,269,269,215,269,,215,239,,269,,215,269
Y,319,299,315,315,359,315,359,315,289,315,359,315,319,359,315,289,359,315,315,359,289,339,315,319,289,359,359,359,359,339,490,339,339,315,309,339,315,289,315,339,315,359,339,315,419,359,359,289,490,315,319,,359,315,309,389,315,319,319,279,319,359,389,359,339,359,315,339,339,339,359,,289,299,339,339,359,319,389,359,309,359,329,359,315,,,,,,,,,,,,,,,,359,,359,,339,339,315,359,,315,289,,339,,315,339
Y,359,359,345,345,419,345,419,345,379,345,419,345,359,419,345,359,419,345,345,419,349,389,345,359,339,419,419,419,419,389,560,389,389,345,359,399,345,379,345,389,345,419,419,345,449,419,419,359,560,345,359,,419,345,379,449,345,349,359,329,359,419,419,419,389,419,345,389,389,419,419,,359,359,399,389,419,359,419,419,399,419,369,419,345,,,,,,,,,,,,,,,,419,,419,,389,389,345,419,,345,389,,389,,345,419
Y,139,139,100,100,119,,100,100,100,,100,100,,119,100,100,100,,100,100,100,119,100,,100,100,119,100,100,119,129,119,119,100,,,100,100,100,119,100,100,129,,100,100,100,100,129,100,,,100,100,100,100,100,139,,100,,100,,119,119,100,100,119,119,,100,100,100,139,,119,100,,,100,100,100,100,100,100,,,,119,,119,,,,,,,,,,100,,100,,119,119,100,100,,100,119,100,119,,100,
Y,149,149,160,160,159,160,159,160,159,160,159,159,159,159,160,159,169,180,160,159,169,159,160,159,159,159,159,159,159,159,190,159,159,160,159,159,160,159,160,159,160,159,159,160,139,159,159,169,189,150,159,169,159,160,159,169,160,149,159,159,159,159,149,159,159,169,160,159,149,159,159,160,159,149,159,159,159,159,149,159,159,159,159,159,160,,,,149,,169,,,,,,,,,,159,,159,,179,169,160,159,,160,159,150,159,,160,159
Y,699,639,660,675,669,695,669,620,649,680,629,650,619,669,680,689,659,685,620,629,689,679,635,619,699,659,669,669,659,679,915,669,679,655,669,599,630,669,680,689,650,649,609,685,809,679,659,679,900,640,619,719,629,665,699,769,650,689,619,679,619,629,679,669,679,639,680,679,639,609,659,645,669,639,619,679,629,619,679,659,719,649,719,689,650,,,,639,,679,,,,,,,,,,659,,619,,669,659,650,629,,615,669,670,659,,625,609
Y,749,589,660,595,769,695,759,630,669,695,759,679,649,769,680,679,759,695,610,759,679,749,655,649,679,769,769,769,759,749,745,749,749,660,669,689,630,649,680,749,660,759,669,695,879,769,759,689,889,655,649,719,759,680,689,769,630,769,649,649,649,759,719,769,749,759,640,749,669,689,769,660,679,649,699,749,759,649,679,769,649,759,649,779,640,,,,659,,749,,,,,,,,,,769,,759,,749,749,670,769,,650,669,635,739,,665,689
Y,709,629,645,655,629,675,649,615,669,670,619,659,619,629,675,669,619,675,645,609,659,649,635,619,649,619,629,629,659,649,915,619,649,645,669,619,640,619,650,649,635,609,609,670,779,629,619,679,910,655,619,699,629,675,679,699,650,689,619,659,619,629,669,629,649,629,650,649,639,619,619,640,669,619,659,649,609,619,669,629,669,619,699,619,660,,,,649,,649,,,,,,,,,,629,,619,,649,619,640,629,,660,669,655,619,,660,609
Y,169,179,170,165,179,175,159,165,159,165,169,170,159,179,170,159,169,170,170,179,149,159,165,159,149,179,179,179,169,159,250,159,159,165,159,159,165,149,160,159,170,179,159,165,189,169,169,199,260,170,159,169,169,170,159,199,165,179,159,149,159,169,179,179,159,179,170,159,159,159,169,160,159,169,159,159,169,169,179,169,169,179,169,159,155,,,,159,,159,,,,,,,,,,169,,179,,169,159,160,169,,165,159,170,159,,170,159
Y,139,139,120,120,129,125,129,120,100,125,129,120,119,129,120,100,129,125,120,129,100,100,120,119,100,129,129,129,129,100,215,100,100,120,100,119,120,100,120,100,120,129,119,125,149,129,129,100,215,120,119,100,129,120,100,129,120,139,119,100,119,129,139,129,100,129,120,100,119,119,129,120,100,139,119,100,129,119,139,129,100,129,119,129,120,,,,119,,100,,,,,,,,,,129,,129,,100,100,120,129,,120,100,120,100,,120,119
