Y,609,629,529,629,629,,609,,609,529,529,,529,,,,,529,,,,599,629,,,529,629,,609,609,629,629,689,,,,629,629,609,529,,629,629,629,,629,529,529,,,609,629,629,609,599,529,529,529,599,,629,529
Y,499,459,459,459,459,399,489,,459,459,399,,389,,,,,429,,,,459,459,,,429,459,429,499,499,459,459,519,,,,459,459,449,439,,459,459,459,,459,459,419,,,469,459,459,459,459,419,439,459,459,419,459,399
Y,239,239,259,239,239,239,239,219,239,259,259,219,259,219,219,,219,259,219,219,219,229,239,219,219,259,239,239,239,239,239,239,229,219,219,219,239,239,239,259,219,239,239,239,219,239,259,259,,219,239,239,239,239,229,259,259,259,229,239,239,259
Y,319,319,329,319,319,319,319,339,319,329,329,339,329,339,339,,339,329,339,339,339,299,319,339,339,329,319,319,319,319,319,319,329,339,339,339,319,319,319,329,339,319,319,319,339,319,329,329,,339,319,319,319,319,299,329,329,329,359,319,319,329
Y,359,359,399,359,359,349,359,389,359,399,399,389,399,389,389,,389,399,389,389,389,339,359,389,389,399,359,349,359,359,359,359,369,389,389,389,359,359,359,399,389,359,359,359,389,359,399,399,,389,359,359,359,359,339,399,399,399,419,349,359,399
Y,119,119,129,119,119,139,119,199,119,129,129,199,129,199,199,,199,129,199,199,199,119,119,199,199,129,119,139,119,119,119,119,149,199,199,199,119,119,119,129,199,119,119,119,199,119,129,129,,199,119,119,119,119,119,129,129,129,119,139,119,129
Y,179,179,189,179,179,189,189,239,179,189,189,239,199,239,239,,239,189,239,239,239,189,179,239,239,189,179,189,179,189,179,179,179,239,239,239,179,179,179,189,239,179,179,179,239,179,189,189,,239,189,179,179,179,189,189,189,189,189,179,179,189
Y,889,899,839,899,899,779,919,899,879,859,839,899,829,899,899,,899,829,899,899,899,819,899,899,899,849,899,769,889,899,899,899,889,899,899,899,899,899,889,859,899,899,899,899,899,899,859,839,,899,889,899,899,889,819,829,829,849,819,769,899,829
Y,949,939,889,939,939,819,969,939,939,879,869,939,869,939,939,,939,869,939,939,939,879,939,939,939,889,939,819,949,959,939,939,929,939,939,939,939,939,949,889,939,939,939,939,939,939,869,889,,939,969,939,939,939,879,889,869,869,879,799,939,859
Y,859,829,829,829,829,779,859,889,819,839,819,889,789,889,889,,889,829,889,889,889,769,829,889,889,829,829,789,829,869,829,829,849,889,889,889,829,829,849,839,889,829,829,829,889,829,829,839,,889,859,829,829,829,769,829,829,829,769,779,829,829
Y,159,179,169,179,179,179,199,259,189,169,169,259,179,259,259,,249,169,259,259,249,179,179,249,259,169,179,179,159,169,179,179,159,259,259,259,179,179,189,169,259,179,179,179,259,179,179,169,,249,179,179,179,179,179,179,169,169,179,179,179,169
Y,139,139,129,139,139,129,139,139,139,129,129,139,129,139,139,,139,119,139,139,139,119,139,139,139,129,139,129,139,139,139,139,119,139,139,139,139,139,139,129,139,139,139,139,139,139,129,129,,139,139,139,139,139,119,129,129,129,119,129,139,129
Y,249,249,239,249,249,249,249,269,259,239,239,269,229,269,269,,269,229,269,269,269,239,249,269,269,239,249,239,249,259,249,249,259,269,269,269,249,249,259,239,269,249,249,249,269,249,239,239,,269,239,249,249,259,239,239,239,239,239,239,249,219
Y,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,359,349,399,349,349,329,329,419,359,329,399,399,329,399,399,,419,339,399,399,419,319,349,419,419,399,349,299,349,339,349,349,349,419,419,399,349,349,339,399,419,349,349,349,419,349,349,339,,419,389,349,349,369,319,389,329,359,319,299,349,349
Y,359,349,399,349,349,329,329,419,359,329,399,399,329,399,399,,419,339,399,399,419,319,349,419,419,399,349,299,349,339,349,349,349,419,419,399,349,349,339,399,419,349,349,349,419,349,349,339,,419,389,349,349,369,319,389,329,359,319,299,349,349
Y,239,239,259,239,239,239,239,219,239,259,259,219,259,219,219,,219,259,219,219,219,229,239,219,219,259,239,239,239,239,239,239,229,219,219,219,239,239,239,259,219,239,239,239,219,239,259,259,,219,239,239,239,239,229,259,259,259,229,239,239,259
Y,249,269,319,269,269,289,259,289,279,339,299,279,299,289,289,,279,319,279,289,289,219,269,279,279,359,269,229,249,259,269,269,199,289,279,279,269,269,299,299,279,269,269,269,289,269,299,359,,299,279,269,269,269,219,359,299,339,219,199,269,379
Y,1099,1079,1069,1079,1079,1019,1099,1089,1099,1079,1089,1099,1069,1089,1099,,1099,1069,1099,1099,1089,1019,1079,1089,1099,1069,1079,1009,1099,1099,1079,1079,1119,1099,1099,1099,1079,1079,1109,1069,1099,1079,1079,1079,1089,1079,1079,1069,,1099,1099,1079,1079,1109,1019,1059,1069,1079,1019,1019,1079,1069
Y,1039,1039,999,1039,1039,949,1039,999,1049,999,1019,999,999,999,999,,999,999,999,999,999,959,1039,999,999,999,1039,949,1039,1039,1039,1039,1049,999,999,999,1039,1039,1029,999,999,1039,1039,1039,999,1039,999,999,,999,1039,1039,1039,1039,959,989,999,1009,959,939,1039,999
Y,659,669,639,669,669,599,659,659,669,649,649,659,639,659,659,,659,639,659,659,659,619,669,659,659,639,669,599,659,659,669,669,679,659,659,659,669,669,659,639,659,669,669,669,659,669,639,639,,659,659,669,669,659,619,629,639,639,619,599,669,639
Y,319,319,329,319,319,319,319,339,319,329,329,339,329,339,339,,339,329,339,339,339,299,319,339,339,329,319,319,319,319,319,319,329,339,339,339,319,319,319,329,339,319,319,319,339,319,329,329,,339,319,319,319,319,299,329,329,329,359,319,319,329
Y,1039,1029,1009,1029,1029,939,1029,1049,1039,1019,1019,1039,1009,1049,1049,,1049,1009,1049,1049,1039,949,1029,1049,1049,1009,1029,939,1019,1029,1029,1029,1079,1049,1049,1039,1029,1029,1049,1009,1049,1029,1029,1029,1049,1029,1019,1009,,1049,1029,1029,1029,1049,949,999,1009,1019,949,949,1029,1009
Y,969,979,939,979,979,859,969,959,979,949,949,959,949,959,959,,959,939,959,959,959,889,979,959,949,949,979,859,959,969,979,979,999,959,959,959,979,979,969,949,959,979,979,979,959,979,969,939,,959,969,979,979,969,889,939,939,979,889,859,979,939
Y,589,579,569,579,579,499,589,599,589,569,569,599,589,599,599,,599,569,599,599,599,549,579,599,599,569,579,499,569,579,579,579,599,599,599,599,579,579,579,569,599,579,579,579,599,579,569,569,,599,589,579,579,579,549,559,569,569,549,499,579,569
Y,359,359,399,359,359,349,359,389,359,399,399,389,399,389,389,,389,399,389,389,389,339,359,389,389,399,359,349,359,359,359,359,369,389,389,389,359,359,359,399,389,359,359,359,389,359,399,399,,389,359,359,359,359,339,399,399,399,419,349,359,399
Y,239,239,259,239,239,239,239,219,239,259,259,219,259,219,219,,219,259,219,219,219,229,239,219,219,259,239,239,239,239,239,239,,219,219,219,239,239,239,259,219,239,239,239,219,239,259,259,,219,239,239,239,239,229,259,259,259,229,239,239,259
Y,319,319,329,319,319,319,319,339,319,329,329,339,329,339,339,,339,329,339,339,339,299,319,339,339,329,319,319,319,319,319,319,329,339,339,339,319,319,319,329,339,319,319,319,339,319,329,329,,339,319,319,319,319,299,329,329,329,359,319,319,329
Y,359,359,399,359,359,349,359,389,359,399,399,389,399,389,389,,389,399,389,389,389,339,359,389,389,399,359,349,359,359,359,359,,389,389,389,359,359,359,399,389,359,359,359,389,359,399,399,,389,359,359,359,359,339,399,399,399,419,349,359,399
Y,159,179,169,179,179,179,199,259,189,169,169,259,179,259,259,,249,169,259,259,249,179,179,249,259,169,179,179,159,169,179,179,159,259,259,259,179,179,189,169,259,179,179,179,259,179,179,169,,249,179,179,179,179,179,179,169,169,179,179,179,169
Y,109,109,129,109,109,129,109,129,109,129,129,129,129,129,129,,129,129,129,129,129,119,109,129,129,129,109,129,109,109,109,109,129,129,129,129,109,109,109,129,129,109,109,109,129,109,129,129,,129,109,109,109,109,119,129,129,129,119,129,109,129
Y,159,159,169,159,159,169,159,149,159,169,169,159,169,149,159,,159,169,169,159,159,149,159,159,149,169,159,159,159,159,159,159,159,149,159,159,159,159,159,169,149,159,159,159,159,159,169,169,,159,149,159,159,159,149,169,169,169,149,149,159,169
Y,169,169,179,169,169,179,169,159,169,179,179,169,179,159,169,,169,179,179,169,169,159,169,169,159,179,169,169,169,169,169,169,169,159,169,169,169,169,169,179,159,169,169,169,169,169,179,179,,169,159,169,169,169,159,179,179,179,159,159,169,179
Y,179,179,189,179,179,189,179,169,179,189,189,179,189,169,179,,179,189,189,179,179,169,179,179,169,189,179,179,179,179,179,179,179,169,179,179,179,179,179,189,169,179,179,179,179,179,189,189,,179,169,179,179,179,169,189,189,189,169,169,179,189
Y,109,109,129,109,109,129,109,129,109,129,129,129,129,129,129,,129,129,129,129,129,119,109,129,129,129,109,129,109,109,109,109,129,129,129,129,109,109,109,129,129,109,109,109,129,109,129,129,,129,109,109,109,109,119,129,129,129,119,129,109,129
Y,159,159,169,159,159,169,159,149,159,169,169,159,169,149,159,,159,169,169,159,159,149,159,159,149,169,159,159,159,159,159,159,159,149,159,159,159,159,159,169,149,159,159,159,159,159,169,169,,159,149,159,159,159,149,169,169,169,149,149,159,169
Y,169,169,179,169,169,179,169,159,169,179,179,169,179,159,169,,169,179,179,169,169,159,169,169,159,179,169,169,169,169,169,169,169,159,169,169,169,169,169,179,159,169,169,169,169,169,179,179,,169,159,169,169,169,159,179,179,179,159,159,169,179
Y,179,179,189,179,179,189,179,169,179,189,189,179,189,169,179,,179,189,189,179,179,169,179,179,169,189,179,179,179,179,179,179,179,169,179,179,179,179,179,189,169,179,179,179,179,179,189,189,,179,169,179,179,179,169,189,189,189,169,169,179,189
