any,1248,1249,2111,2332,2515,2693,2731,3059,5978,5979,6524,6844,7507,7508,7575,7593,10297,11551,11844,11906,12084,12221,12222,12612,13080,13124,13379,13501,13978,15288,15350,15594,15719,15722,17338,17806,18406,20103,20259,24659,28996,31587,31872,32221,32354,33313,34384
Y,135,100,139,139,100,135,139,100,100,135,149,139,139,139,100,100,139,139,100,139,100,100,139,100,139,139,100,100,100,139,100,100,100,100,,100,139,139,135,100,,100,100,100,100,100,139
Y,135,139,139,139,139,135,139,135,139,135,159,139,139,139,139,135,139,139,135,139,135,100,139,135,139,139,139,135,139,139,135,135,100,139,,135,139,139,135,139,,135,139,135,139,139,139
Y,135,139,139,139,139,135,139,135,139,135,169,139,139,139,139,135,139,139,135,139,135,100,139,135,139,139,139,135,139,139,135,135,100,139,,135,139,139,135,139,,135,139,135,139,139,139
Y,160,139,,,139,160,,100,100,160,,,,,139,100,,,100,139,100,100,,100,100,,139,100,139,,100,100,100,139,,100,,,160,139,,100,139,100,139,139,
Y,135,100,139,139,100,135,139,100,100,135,,139,139,139,100,100,139,139,100,139,100,100,139,100,139,139,100,100,100,139,100,100,100,100,,100,139,139,135,100,,100,100,100,100,100,139
Y,135,139,139,139,139,135,139,135,139,135,,139,139,139,139,135,139,139,135,139,135,100,139,135,139,139,139,135,139,139,135,135,100,139,,135,139,139,135,139,,135,139,135,139,139,139
Y,135,139,139,139,139,135,139,135,139,135,,139,139,139,139,135,139,139,135,139,135,100,139,135,139,139,139,135,139,139,135,135,100,139,,135,139,139,135,139,,135,139,135,139,139,139
Y,155,160,219,200,160,155,215,155,150,150,100,200,219,215,165,160,219,219,155,155,160,100,200,160,100,219,160,160,160,219,155,160,100,170,,160,200,200,160,160,,160,160,155,160,160,200
Y,155,160,219,200,160,155,215,155,150,150,100,200,219,215,165,160,219,219,155,155,160,100,200,160,100,219,160,160,160,219,155,160,100,170,,160,200,200,160,160,,160,160,155,160,160,200
Y,200,130,100,,130,200,100,100,100,200,195,,100,100,130,150,,100,100,150,150,100,,150,100,,130,150,130,100,100,150,100,130,,150,,100,200,130,,150,130,100,130,130,
Y,260,250,259,300,250,250,300,300,300,250,279,300,250,300,250,280,300,300,300,250,280,230,300,280,279,300,250,280,250,300,300,280,279,250,,280,300,360,250,250,,280,250,300,250,250,300
Y,160,139,,,139,160,,100,100,160,139,,,,139,100,,,100,139,100,100,,100,100,,139,100,139,,100,100,100,139,,100,,,160,139,,100,139,100,139,139,
Y,135,100,139,139,100,135,139,100,100,135,149,139,139,139,100,100,139,139,100,139,100,100,139,100,139,139,100,100,100,139,100,100,100,100,,100,139,139,135,100,,100,100,100,100,100,139
Y,135,139,139,139,139,135,139,135,139,135,159,139,139,139,139,135,139,139,135,139,135,100,139,135,139,139,139,135,139,139,135,135,100,139,,135,139,139,135,139,,135,139,135,139,139,139
Y,135,139,139,139,139,135,139,135,139,135,169,139,139,139,139,135,139,139,135,139,135,100,139,135,139,139,139,135,139,139,135,135,100,139,,135,139,139,135,139,,135,139,135,139,139,139
Y,25,,,,,25,59,,,25,35,,,59,,60,,59,,45,60,,,60,35,,,60,,59,,60,35,,,60,,,25,,,60,,,,,59
Y,35,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,35,,,,,,,,
Y,50,40,59,59,40,50,50,40,40,50,39,59,59,50,40,59,59,59,40,75,59,50,59,59,39,59,40,59,40,59,40,59,39,40,,59,59,59,50,40,,59,40,40,40,40,59
Y,540,570,699,649,570,540,625,550,549,535,609,649,699,625,570,565,669,629,550,,565,,649,565,569,669,570,565,570,629,560,565,569,570,,565,649,689,535,570,,565,570,560,570,570,649
Y,180,120,100,100,120,180,100,100,100,180,139,100,100,100,120,125,100,100,100,125,125,100,100,125,100,100,120,125,120,100,100,125,100,120,,125,100,100,180,120,,125,120,100,120,120,100
Y,395,460,400,425,460,395,400,380,379,390,399,425,400,400,455,400,425,400,385,390,390,330,425,390,399,425,460,390,460,400,380,390,399,460,,390,425,450,395,460,,400,460,380,460,460,425
Y,485,480,579,549,480,485,555,415,415,475,489,549,579,555,480,380,549,549,415,440,380,455,549,380,449,549,480,380,480,549,415,380,449,460,,380,549,559,485,480,,380,490,415,480,480,549
Y,160,139,,,139,160,,100,100,160,139,,,,139,100,,,100,139,100,100,,100,100,,139,100,139,,100,100,100,139,,100,,,160,139,,100,139,100,139,139,
Y,135,100,139,139,100,135,139,100,100,135,149,139,139,139,100,100,139,139,100,139,100,100,139,100,139,139,100,100,100,139,100,100,100,100,,100,139,139,135,100,,100,100,100,100,100,139
Y,135,139,139,139,139,135,139,135,139,135,159,139,139,139,139,135,139,139,135,139,135,100,139,135,139,139,139,135,139,139,135,135,100,139,,135,139,139,135,139,,135,139,135,139,139,139
Y,135,139,139,139,139,135,139,135,139,135,169,139,139,139,139,135,139,139,135,139,135,100,139,135,139,139,139,135,139,139,135,135,100,139,,135,139,139,135,139,,135,139,135,139,139,139
Y,160,139,,,139,160,,100,100,160,139,,,,139,100,,,100,139,100,100,,100,100,,139,100,139,,100,100,100,139,,100,,,160,139,,100,139,100,139,139,
