Y,399,,,,,,,,,,,,,399,369,399,,,,399,,399,399,,399,,,,,,399,399,,,,,399,,319,429,,,,399,399,,,399,,439,,399,,,,,459,349,
Y,259,219,219,219,219,269,219,219,219,219,219,219,219,259,229,259,219,219,,259,219,259,259,219,259,219,219,269,219,219,259,259,,219,219,219,259,,259,319,219,219,219,259,259,219,,259,219,319,219,259,,219,219,,319,249,219
Y,339,339,339,339,339,299,339,339,339,339,339,339,339,339,299,339,339,339,,339,339,339,339,339,339,339,339,329,339,339,339,339,,339,339,339,339,,319,369,339,339,339,339,339,339,,339,339,369,339,339,,339,339,,369,309,339
Y,399,389,389,389,389,359,389,389,389,389,389,389,389,399,369,399,389,389,,399,389,399,399,389,399,389,389,359,389,389,399,399,,389,389,389,399,,349,419,389,389,389,399,399,389,,399,389,419,389,399,,389,389,,419,349,389
Y,199,199,199,199,199,149,199,199,199,199,199,199,199,199,100,199,199,199,,199,199,199,199,199,199,199,199,149,199,199,199,199,,199,199,199,199,,119,109,199,199,199,199,199,199,,199,199,149,199,199,,199,199,,149,119,199
Y,239,239,239,239,239,199,239,239,239,239,239,239,239,239,199,239,239,239,,239,239,239,239,239,239,239,239,199,239,239,239,239,,239,239,239,239,,199,219,239,239,239,239,239,239,,239,239,169,239,239,,239,239,,179,199,239
Y,889,899,899,899,899,749,899,899,899,899,899,899,899,889,769,889,899,899,,889,899,889,889,899,889,899,899,729,899,899,889,889,,899,899,899,889,,759,829,899,899,899,889,889,899,,889,899,869,899,889,,899,899,,869,729,899
Y,969,939,939,939,939,769,939,939,939,939,939,939,939,969,799,969,939,939,,969,939,969,969,939,969,939,939,739,939,939,969,969,,939,939,939,969,,739,829,939,939,939,969,969,939,,969,939,939,939,969,,939,939,,939,719,939
Y,889,889,889,889,889,809,889,889,889,889,889,889,889,889,759,889,889,889,,889,889,889,889,889,889,889,889,809,889,889,889,889,,889,889,889,889,,739,829,889,889,889,889,889,889,,889,889,859,889,889,,889,889,,859,719,889
Y,259,259,259,259,249,189,249,259,259,259,249,259,249,259,189,259,249,249,,259,259,259,259,249,259,259,259,199,259,249,259,259,,249,249,259,259,,189,199,259,259,259,259,259,259,,259,249,199,259,259,,249,249,,199,199,249
Y,139,139,139,139,139,119,139,139,139,139,139,139,139,139,119,139,139,139,,139,139,139,139,139,139,139,139,119,139,139,139,139,,139,139,139,139,,119,149,139,139,139,139,139,139,,139,139,149,139,139,,139,139,,149,119,139
Y,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,,269,269,269,269,269,269,269,269,259,269,269,269,269,,269,269,269,269,,269,269,269,269,269,269,269,269,,269,269,319,269,269,,269,269,,319,269,269
Y,359,419,399,399,419,389,399,399,399,419,419,399,419,359,419,359,419,399,,359,399,359,359,419,359,419,399,359,399,419,359,359,,419,419,419,359,,389,399,419,399,419,359,359,399,,359,399,299,399,359,,419,419,,299,389,419
Y,359,419,399,399,419,389,399,399,399,419,419,399,419,359,419,359,419,399,,359,399,359,359,419,359,419,399,359,399,419,359,359,,419,419,419,359,,389,399,419,399,419,359,359,399,,359,399,299,399,359,,419,419,,299,389,419
Y,259,219,219,219,219,269,219,219,219,219,219,219,219,259,229,259,219,219,,259,219,259,259,219,259,219,219,269,219,219,259,259,,219,219,219,259,,259,319,219,219,219,259,259,219,,259,219,319,219,259,,219,219,,319,249,219
Y,279,289,279,279,299,269,279,279,279,299,279,279,289,279,299,279,289,289,,279,279,279,279,279,279,289,279,289,279,299,279,279,,289,279,279,279,,279,299,279,289,289,279,279,279,,279,289,219,279,279,,279,279,,219,269,279
Y,1119,1099,1099,1099,1089,1019,1089,1099,1099,1099,1099,1099,1089,1119,1029,1119,1099,1099,,1119,1099,1119,1119,1099,1119,1099,1099,1019,1099,1089,1119,1119,,1099,1089,1099,1119,,1019,1139,1099,1099,1099,1119,1119,1099,,1119,1099,1069,1099,1119,,1089,1089,,1069,1019,1089
Y,999,999,999,999,999,969,999,999,999,999,999,999,999,999,949,999,999,999,,999,999,999,999,999,999,999,999,969,999,999,999,999,,999,999,999,999,,969,1079,999,999,999,999,999,999,,999,999,1009,999,999,,999,999,,1009,959,999
Y,669,659,659,659,659,629,679,659,659,659,659,659,659,669,599,669,659,659,,669,659,669,669,679,669,659,659,629,679,679,669,669,,659,679,679,669,,629,669,659,659,659,669,669,659,,669,659,659,659,669,,669,659,,659,619,659
Y,339,339,339,339,339,299,339,339,339,339,339,339,339,339,299,339,339,339,,339,339,339,339,339,339,339,339,329,339,339,339,339,,339,339,339,339,,319,369,339,339,339,339,339,339,,339,339,369,339,339,,339,339,,369,309,339
Y,1029,1049,1039,1039,1039,949,1039,1039,1039,1049,1049,1039,1039,1029,999,1029,1049,1049,,1029,1039,1029,1029,1049,1029,1049,1039,949,1039,1039,1029,1029,,1049,1039,1049,1029,,949,1119,1049,1049,1039,1029,1029,1039,,1029,1049,1029,1039,1029,,1039,1039,,1029,939,1039
Y,949,959,959,959,949,889,959,959,959,959,959,959,949,949,899,949,959,959,,949,959,949,949,959,949,959,959,889,959,959,949,949,,959,959,959,949,,889,1049,959,959,959,949,949,959,,949,959,969,959,949,,959,959,,989,879,959
Y,599,599,599,599,599,539,599,599,599,599,599,599,599,599,549,599,599,599,,599,599,599,599,599,599,599,599,539,599,599,599,599,,599,599,599,599,,529,639,599,599,599,599,599,599,,599,599,629,599,599,,599,599,,629,519,599
Y,399,389,389,389,389,359,389,389,389,389,389,389,389,399,369,399,389,389,,399,389,399,399,389,399,389,389,359,389,389,399,399,,389,389,389,399,,349,419,389,389,389,399,399,389,,399,389,419,389,399,,389,389,,419,349,389
Y,259,219,219,219,219,269,219,219,219,219,219,219,219,259,229,259,219,219,,259,219,259,259,219,259,219,219,269,219,219,259,259,,219,219,219,259,,259,319,219,219,219,259,259,219,,259,219,319,219,259,,219,219,,319,249,219
Y,339,339,339,339,339,299,339,339,339,339,339,339,339,339,299,339,339,339,,339,339,339,339,339,339,339,339,329,339,339,339,339,,339,339,339,339,,319,369,339,339,339,339,339,339,,339,339,369,339,339,,339,339,,369,309,339
