any,1199,1657,2155,4820,5964,6123,6723,7049,7148,7153,7468,7548,7601,7602,7943,7953,7972,8007,8015,11173,13355,13378,14195,14196,18138,18691,25845,27354,31791,33728,35221
Y,190,190,150,190,190,150,150,189,189,190,150,150,190,190,189,190,,150,150,,190,190,,,190,190,,190,150,240,190
Y,230,230,225,230,230,199,199,230,230,230,199,199,230,230,230,230,,230,199,,230,230,,,230,200,,230,230,290,230
Y,260,260,235,260,260,229,229,260,260,260,229,229,260,260,260,260,,240,229,,260,260,,,260,240,,260,240,330,260
Y,50,50,40,50,50,75,75,50,55,50,75,75,50,50,50,50,,40,75,,50,50,,,50,50,,50,40,60,50
Y,830,730,550,760,800,519,669,779,799,740,549,669,760,760,749,750,,550,669,,750,690,,,750,770,,750,550,970,750
Y,200,200,130,190,200,169,169,199,209,200,169,179,200,190,199,230,,130,159,,200,200,,,200,230,,200,130,280,230
Y,495,510,400,530,540,479,489,540,545,550,469,479,550,550,519,530,,400,479,,555,550,,,520,550,,550,400,660,560
Y,585,585,520,585,585,499,489,585,615,585,499,469,585,585,585,585,,520,499,,585,585,,,585,585,,585,520,620,585
Y,110,110,100,110,110,150,100,109,109,110,150,100,110,110,109,110,,100,100,,110,110,,,115,110,,110,100,110,110
Y,190,190,150,190,190,150,150,189,189,190,150,150,190,190,189,190,,150,150,,190,190,,,190,190,,190,150,240,190
Y,230,230,225,230,230,199,199,230,230,230,199,199,230,230,230,230,,230,199,,230,230,,,230,200,,230,230,290,230
Y,260,260,235,260,260,229,229,260,265,260,229,229,260,260,260,260,,240,229,,260,260,,,260,240,,260,240,330,260
Y,110,110,100,110,110,150,100,109,109,110,150,100,110,110,109,110,,100,100,,110,110,,,115,110,,110,100,110,110
Y,190,190,150,190,190,150,150,189,189,190,150,150,190,190,189,190,,150,150,,190,190,,,190,190,,190,150,240,190
Y,230,230,225,230,230,199,199,230,230,230,199,199,230,230,230,230,,230,199,,230,230,,,230,200,,230,230,290,230
Y,260,260,235,260,260,229,229,260,265,260,229,229,260,260,260,260,,240,229,,260,260,,,260,240,,260,240,330,260
Y,40,40,100,40,40,75,75,39,49,30,75,75,40,40,29,40,,100,75,,40,,,,40,40,,40,100,50,40
Y,40,40,100,40,40,75,75,39,49,30,75,75,40,40,29,40,,100,75,,40,,,,40,40,,40,100,50,40
Y,260,260,170,260,265,249,249,264,284,260,249,249,260,260,244,260,,170,249,,260,260,,,260,260,,260,170,315,260
Y,110,110,100,110,110,150,100,109,109,110,150,100,110,110,109,110,,100,100,,110,110,,,115,110,,110,100,110,110
Y,190,190,150,190,190,150,150,189,189,190,150,150,190,190,189,190,,150,150,,190,190,,,190,190,,190,150,240,190
Y,230,230,225,230,230,199,199,230,230,230,199,199,230,230,230,230,,230,199,,230,230,,,230,200,,230,230,290,230
Y,260,260,235,260,260,229,229,260,265,260,229,229,260,260,260,260,,240,229,,260,260,,,260,240,,260,240,330,260
Y,650,645,540,680,655,639,599,625,689,660,639,629,665,680,645,680,,550,619,,680,640,,,650,625,,670,550,725,670
Y,56,56,86,56,56,68,68,56,56,56,68,68,56,56,56,56,,86,68,,56,56,,,56,56,,56,86,56,56
Y,30,30,25,30,30,50,59,30,30,30,50,59,30,30,30,30,,25,59,,30,30,,,30,30,,30,25,30,30
Y,30,30,25,30,30,50,59,30,30,30,50,59,30,30,30,30,,25,59,,30,30,,,30,30,,30,25,30,30
Y,30,30,,30,30,50,50,29,29,30,50,50,30,30,29,30,,,50,,30,30,,,30,30,,30,,30,30
Y,30,30,25,30,30,50,59,30,30,30,50,59,30,30,30,30,,25,59,,30,30,,,30,30,,30,25,30,30
Y,30,30,75,30,30,,,39,39,30,,,30,30,39,,,75,,,30,30,,,30,30,,40,75,40,30
Y,30,30,25,30,30,50,59,30,30,30,50,59,30,30,30,30,,25,59,,30,30,,,30,30,,30,25,30,30
Y,100,100,100,100,100,,,,100,100,,,,100,,100,,100,,,,,,,,,,100,100,100,
Y,500,500,500,500,500,,,,500,500,,,,500,,500,,500,,,,,,,,,,500,500,500,
Y,40,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,40,
Y,30,30,25,30,30,,50,29,29,30,,50,30,30,29,30,,25,50,,30,30,,,30,30,,30,25,30,30
Y,110,110,,,,,,,119,,,,,,,110,,,,,,,,,,110,,,,110,
Y,110,,25,,,,,,119,,,,,,,110,,25,,,,,,,,110,,,25,110,
Y,110,,,,,,199,,119,,,199,,,,110,,,199,,,,,,,110,,,,130,
Y,110,,100,,,,219,,119,,,219,110,,,110,,100,219,,,,,,,110,,,100,140,110
Y,595,595,540,595,595,599,589,615,639,595,619,569,625,615,625,615,,540,589,,620,595,,,620,615,,595,540,715,620
Y,40,40,100,49,30,139,139,39,49,40,139,139,40,40,39,40,,100,159,,40,40,,,40,30,,40,100,40,40
Y,450,500,519,530,440,599,639,499,609,450,599,629,500,520,499,460,,519,639,,450,450,,,500,480,,500,519,660,450
Y,500,600,599,600,500,719,749,599,799,530,719,769,550,600,569,520,,599,769,,700,500,,,600,530,,600,599,780,500
Y,380,400,300,440,400,279,379,439,419,380,279,339,420,420,415,390,,300,369,,410,400,,,400,400,,420,300,490,420
Y,480,430,380,470,460,349,449,469,499,450,339,459,470,495,515,495,,380,439,,460,480,,,440,450,,490,380,520,460
Y,380,400,300,420,400,279,379,439,419,380,279,339,420,420,415,390,,300,369,,410,400,,,400,400,,420,300,490,400
Y,480,430,380,450,460,349,449,469,499,450,339,459,470,495,515,495,,380,439,,460,480,,,440,450,,490,380,520,440
Y,380,400,300,420,400,279,379,439,419,380,279,339,420,420,415,390,,300,369,,410,400,,,400,400,,420,300,490,400
Y,480,430,380,450,460,349,449,469,499,450,339,459,470,495,515,495,,380,439,,460,480,,,440,450,,490,380,520,440
Y,110,110,100,110,110,150,100,109,109,110,150,100,110,110,109,110,,100,100,,110,110,,,115,110,,110,100,110,110
Y,190,190,150,190,190,150,150,189,189,190,150,150,190,190,189,190,,150,150,,190,190,,,190,190,,190,150,240,190
Y,230,230,225,230,230,199,199,230,230,230,199,199,230,230,230,230,,230,199,,230,230,,,230,200,,230,230,290,230
Y,260,260,235,260,260,229,229,260,265,260,229,229,260,260,260,260,,240,229,,260,260,,,260,240,,260,240,330,260
Y,290,280,260,320,320,269,289,319,379,290,250,289,300,320,299,290,,260,289,,290,290,,,290,290,,300,260,400,280
Y,320,320,270,340,350,279,299,359,399,310,269,299,330,360,319,320,,270,299,,310,320,,,320,320,,350,270,410,310
Y,350,340,280,370,380,319,329,389,439,330,299,319,350,370,339,350,,280,339,,340,360,,,330,330,,380,280,500,340
