any,220,235,364,1424,2023,2279,2427,2570,3140,3397,3498,3514,3865,3907,4071,4092,4179,4238,4404,4456,4644,4654,4738,4787,4919,5249,5553,5590,5659,5731,5808,6011,6029,6228,6231,6849,7164,7712,8084,10147,10367,10393,10833,10858,11060,11066,11098,11473,11550,11796,11807,11885,12190,12391,12495,12501,13262,13697,14673,15793,16369,18534,20105,20533,21191,22258,22591,22592,22852,23481,23529,23895,24370,25211,26250,27183,27525,28191,28808,28828,30148,30374,30519,30578,30903,30968,31141,31188,31305,31397,31404,31442,31566,31869,31902,31973,32613,33423,33972,35806
Y,399,359,429,419,429,639,469,429,369,469,469,429,389,459,479,479,359,,439,510,449,449,369,439,,439,459,419,589,449,519,469,359,469,639,480,449,489,469,495,495,439,529,419,,510,,489,469,639,,479,419,449,459,369,379,449,479,,,459,479,495,479,399,439,439,459,510,419,399,459,449,689,495,399,479,,,,,,,,,359,469,,,429,639,495,479,,479,439,639,439,
Y,449,449,399,469,459,629,499,469,459,439,489,419,369,469,509,459,459,,459,519,549,419,479,459,,439,429,499,579,489,529,459,449,499,649,480,439,459,499,490,490,449,529,499,,519,,469,499,629,,509,449,459,469,459,399,439,469,,,459,459,490,509,449,439,399,469,519,419,459,469,479,749,490,399,469,,,,,,,,,489,579,,,399,629,490,459,,459,419,629,469,
Y,479,499,419,499,439,639,479,469,499,499,449,419,399,459,509,469,499,,469,539,549,419,499,419,,419,419,499,579,439,549,459,489,479,659,480,419,469,479,490,490,419,539,499,,539,,469,479,639,,509,489,429,459,499,429,419,469,,,459,469,490,509,499,429,419,459,539,419,459,459,459,759,490,459,469,,,,,,,,,499,579,,,429,639,490,469,,459,419,639,439,
Y,189,180,209,199,159,359,239,219,169,149,279,179,159,239,219,239,180,,269,210,199,179,159,169,,179,179,199,279,199,210,309,180,239,379,400,179,299,239,400,400,179,210,219,,210,,299,199,359,,219,149,179,239,159,149,189,299,,,269,239,400,219,139,179,209,239,210,179,199,239,199,299,400,159,289,,,,,,,,,159,239,,,209,359,400,239,,299,179,359,159,
Y,899,829,849,909,929,1029,1119,899,909,919,1059,859,889,859,1119,879,829,,829,1009,949,849,929,939,,849,849,889,989,989,1009,1229,839,1119,1059,1096,859,909,1119,1096,1096,849,1019,919,,1009,,909,1129,1029,,1119,919,929,869,939,899,859,909,,,849,879,1096,1119,929,849,849,859,1009,849,879,859,1069,1229,1096,929,899,,,,,,,,,909,999,,,849,1029,1096,879,,909,859,1029,929,
Y,859,789,809,849,889,969,1009,839,859,839,989,819,839,829,1019,839,789,,789,959,889,809,879,869,,809,809,829,919,889,959,1169,799,1009,999,1003,809,869,1009,1003,1003,809,969,839,,959,,869,1009,969,,1019,859,859,829,889,829,799,869,,,809,839,1003,1019,829,809,809,829,959,809,839,829,969,1179,1003,829,849,,,,,,,,,859,949,,,809,969,1003,839,,869,809,969,869,
Y,549,479,529,559,549,669,739,539,499,589,629,529,589,529,739,539,479,,499,709,529,529,519,549,,529,529,539,599,599,709,709,489,739,699,640,529,539,739,640,640,529,709,559,,709,,539,759,669,,739,589,549,529,529,579,529,539,,,519,539,640,739,589,529,529,529,709,529,529,529,709,779,640,589,569,,,,,,,,,499,579,,,529,669,640,539,,539,529,669,549,
Y,39,29,39,39,29,39,30,39,39,39,39,39,39,39,39,30,29,,39,39,39,39,39,29,,39,39,39,40,29,39,,29,30,39,35,39,19,30,35,35,39,39,39,,39,,19,,39,,39,39,29,39,39,39,39,19,,,39,30,35,39,39,39,39,39,39,39,39,39,,39,35,39,19,,,,,,,,,39,39,,,39,39,35,30,,19,39,39,29,
Y,529,539,569,619,599,899,719,539,579,579,599,549,549,589,719,619,529,,559,719,639,549,559,579,,579,579,599,739,599,719,699,539,719,929,650,549,649,719,650,650,569,729,649,,719,,649,729,899,,719,549,589,589,559,529,549,639,,,589,619,650,719,559,569,569,589,719,549,519,589,699,919,650,539,599,,,,,,,,,559,639,,,559,899,650,619,,659,569,899,599,
Y,839,779,829,829,879,969,989,839,829,829,999,829,839,809,989,849,779,,789,939,879,829,849,879,,829,829,839,919,929,939,1199,779,989,1019,1062,829,859,989,1062,1062,829,949,839,,939,,859,999,969,,989,829,869,819,829,869,829,859,,,789,849,1062,989,829,829,829,809,939,829,839,809,949,1159,1062,889,839,,,,,,,,,859,949,,,829,969,1062,849,,859,829,969,879,
