Y,100,100,149,139,139,100,149,139,,100,100,100,119,100,100,,149,119,119,139,100,100,,100,139,149,119
Y,100,139,100,139,139,100,100,139,139,100,139,139,139,139,100,139,100,139,139,139,139,100,,139,139,100,139
Y,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,,139,139,139,139
Y,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,,139,139,139,139
Y,69,29,49,39,39,69,49,30,59,39,29,39,39,39,69,50,49,39,39,39,29,69,,39,39,39,39
Y,159,,139,139,139,159,119,100,100,149,,149,119,149,159,100,119,119,119,139,,,,149,139,139,119
Y,299,289,359,459,459,299,379,300,400,279,299,319,329,299,299,400,369,309,329,449,289,299,,299,459,389,329
Y,479,439,539,489,479,479,519,475,549,479,449,449,479,469,499,565,519,469,519,519,459,479,,449,499,519,489
Y,100,100,149,139,139,100,149,139,,100,100,100,119,100,100,,149,119,119,139,100,100,,100,139,149,119
Y,100,139,100,139,139,100,100,139,139,100,139,139,139,139,100,139,100,139,139,139,139,100,,139,139,100,139
Y,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,,139,139,139,139
Y,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,,139,139,139,139
Y,100,100,149,139,139,100,149,139,,100,100,100,119,100,100,,149,119,119,139,100,100,,100,139,149,119
Y,100,139,100,139,139,100,100,139,139,100,139,139,139,139,100,139,100,139,139,139,139,100,,139,139,100,139
Y,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,,139,139,139,139
Y,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,,139,139,139,139
Y,39,59,39,,,39,39,15,50,29,59,,,,39,50,39,,,,59,39,,,,39,
Y,189,149,159,199,219,179,189,195,175,179,149,149,149,169,169,175,169,169,159,199,149,169,,159,229,179,169
Y,100,100,149,139,139,100,149,139,,100,100,100,119,100,100,,149,119,119,139,100,100,,100,139,149,119
Y,100,139,100,139,139,100,100,139,139,100,139,139,139,139,100,139,100,139,139,139,139,100,,139,139,100,139
Y,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,,139,139,139,139
Y,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,,139,139,139,139
Y,599,499,549,,,599,559,515,599,499,519,529,529,479,599,580,519,479,499,,529,599,,519,,559,489
Y,29,30,,15,15,29,,20,,,30,,,,29,,,,,15,30,29,,,15,,
Y,29,30,,15,15,29,,20,,,30,,,,29,,,,,15,30,29,,,15,,
Y,29,30,,15,15,29,,20,,,30,,,,29,,,,,15,30,29,,,15,,
Y,29,,29,,,29,29,,,,,,,,29,,29,,,,,29,,,,29,
Y,29,15,25,15,15,29,25,,,,15,,,,29,,25,,,15,15,29,,,15,25,
Y,29,30,,15,15,29,,20,,,30,,,,29,,,,,15,30,29,,,15,,
Y,100,100,,100,100,100,,,,,100,,,100,100,,,,,100,100,100,,100,100,,
Y,500,500,,500,500,500,,,500,,500,,,500,500,,,,,500,500,500,,500,500,,
Y,49,60,,15,15,49,,25,,,60,,,,49,,,,,15,60,49,,,15,,
Y,29,35,20,,,29,20,20,10,29,35,,,,29,10,20,,,,35,29,,,,,
Y,29,,35,,,29,35,,50,,,,,,29,50,35,,,,,29,,,,,
Y,139,,,,,139,,,,,,,,,139,,,,,,,139,,,,,
Y,399,399,459,579,579,399,479,415,569,329,419,469,469,469,429,560,469,419,449,579,379,399,,429,579,479,439
Y,39,85,59,79,79,39,59,50,100,99,85,35,35,35,39,100,59,35,35,79,85,39,,35,79,59,35
Y,600,,,,,600,,,,,,,,,839,,,,,,,600,,,,,
Y,139,,,,,139,,,,,,100,100,100,139,,,100,100,,,139,,100,,,100
Y,489,399,399,,,489,419,,725,299,399,479,509,459,509,725,409,509,509,,399,489,,459,,389,509
Y,659,499,449,,,659,539,,850,499,499,599,609,579,679,850,449,609,609,,499,659,,579,,469,609
Y,269,,239,,,269,239,,300,,,,,199,269,300,239,219,199,,,269,,199,,239,199
Y,269,229,269,199,239,269,269,240,329,239,229,249,229,229,269,320,269,239,229,199,229,269,,229,199,269,229
Y,299,259,289,279,279,299,289,280,439,289,259,279,249,249,299,425,289,259,249,279,269,299,,259,279,289,259
Y,269,229,269,199,239,269,269,240,329,239,229,249,229,229,269,320,269,239,229,199,229,269,,229,199,269,229
Y,299,259,289,279,279,299,289,280,439,289,259,279,249,249,299,425,289,259,249,279,269,299,,259,279,289,259
Y,269,229,269,199,239,269,269,240,329,239,229,249,229,229,269,320,269,239,229,199,229,269,,229,199,269,229
Y,299,259,289,279,279,299,289,280,439,289,259,279,249,249,299,425,289,259,249,279,269,299,,259,279,289,259
Y,269,,239,,,269,239,,300,,,,,,269,300,239,,,,,269,,,,239,
Y,100,69,69,,,100,80,100,75,79,69,59,71,59,100,75,73,71,71,,69,100,,59,,70,71
Y,269,,239,,,269,239,,300,,,,,,269,300,239,,,,,269,,,,239,
Y,100,100,149,139,139,100,149,139,,100,100,100,119,100,100,,149,119,119,139,100,100,,100,139,149,119
Y,100,139,100,139,139,100,100,139,139,100,139,139,139,139,100,139,100,139,139,139,139,100,,139,139,100,139
Y,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,,139,139,139,139
Y,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,,139,139,139,139
Y,229,149,299,200,200,229,299,220,300,239,149,239,219,239,229,300,299,219,219,200,139,229,,229,200,299,219
Y,289,169,339,379,379,289,339,285,375,279,169,279,239,279,289,375,339,239,259,379,159,289,,259,379,339,239
Y,319,189,359,419,419,319,359,350,425,319,189,319,279,319,319,425,359,279,289,419,179,319,,289,419,359,279
Y,349,239,339,289,289,349,339,240,350,239,239,269,239,269,349,350,339,239,239,289,239,349,,259,289,339,239
Y,449,419,439,389,389,449,439,400,450,299,419,319,269,319,449,450,439,269,289,389,419,449,,289,389,439,269
Y,499,459,499,449,449,499,499,450,550,379,479,349,319,349,499,550,499,319,329,449,459,499,,329,449,499,319
Y,349,239,339,289,289,349,339,240,350,239,239,269,239,269,349,350,339,239,239,289,239,349,,259,289,339,239
Y,449,419,439,389,389,449,439,400,450,299,419,319,269,319,349,450,439,269,289,389,419,449,,289,389,439,269
Y,499,459,499,449,449,499,499,450,550,379,479,349,319,349,449,550,499,319,329,449,459,449,,329,449,499,319
Y,349,239,339,289,289,349,339,240,350,249,239,259,219,259,349,350,339,219,219,289,239,349,,239,289,339,219
Y,449,419,439,389,389,449,439,400,450,319,419,289,259,289,449,450,439,259,279,389,419,449,,279,389,439,259
Y,499,459,499,449,449,449,499,450,550,339,459,329,289,229,449,550,499,289,319,449,459,449,,319,449,499,289
Y,59,59,,79,69,59,,60,79,139,59,49,49,49,69,79,,79,49,79,59,59,,49,79,,49
Y,339,279,299,389,379,339,399,300,400,349,299,319,289,259,359,400,319,289,299,379,299,339,,259,379,359,259
Y,379,299,449,419,399,379,449,390,369,299,329,279,319,249,399,360,449,319,299,419,329,379,,269,449,419,259
Y,489,419,519,489,499,489,499,495,469,389,429,299,399,319,469,460,499,399,379,499,429,489,,329,519,519,329
Y,549,439,549,579,569,549,549,545,539,439,459,399,419,379,529,535,549,419,399,579,479,549,,399,579,569,419
Y,379,299,449,419,399,379,449,390,369,299,329,279,319,249,399,360,449,319,299,419,329,379,,269,449,419,259
Y,489,419,519,489,499,489,499,495,469,389,429,299,399,319,469,460,499,399,379,499,429,489,,329,519,519,329
Y,349,239,339,289,289,349,339,240,350,249,239,259,219,259,349,350,339,219,219,289,239,349,,239,289,339,219
Y,549,439,549,579,569,549,549,545,539,439,459,399,419,379,529,535,549,419,399,579,479,549,,399,579,569,419
Y,449,419,439,389,389,449,439,400,450,319,419,289,259,289,449,450,439,259,279,389,419,449,,279,389,439,259
Y,499,459,499,449,449,499,499,450,550,339,459,329,289,329,499,550,499,289,319,449,459,499,,319,449,499,289
Y,379,299,449,419,399,379,449,390,369,299,329,279,319,249,399,360,449,319,299,419,329,379,,269,449,419,259
Y,489,419,519,489,499,489,499,495,469,389,429,299,399,319,469,460,499,399,379,499,429,489,,329,519,519,329
Y,569,539,549,619,619,569,589,595,575,619,539,549,539,589,569,575,559,529,479,599,529,579,,539,619,569,549
Y,579,539,549,599,599,579,589,595,575,619,539,559,539,589,579,585,559,529,489,599,529,589,,539,599,559,549
Y,549,439,549,579,569,549,549,545,539,439,459,399,419,379,529,535,549,419,399,579,479,549,,399,579,569,419
Y,229,159,239,239,229,229,259,175,269,199,159,199,169,239,229,260,239,169,139,229,169,229,,189,219,249,169
Y,39,59,69,50,50,39,69,40,50,,59,,,,39,50,69,,,50,59,39,,,50,39,
Y,319,349,369,319,319,319,369,400,450,299,349,289,259,289,319,450,369,259,279,319,349,319,,279,319,369,259
Y,859,749,839,879,879,859,879,870,869,829,749,819,759,849,849,890,839,759,689,859,759,859,,799,879,859,799
Y,849,729,839,859,859,849,859,870,869,789,719,809,749,839,839,890,839,749,789,859,749,849,,799,859,829,789
Y,349,239,339,289,289,349,339,240,350,239,239,269,239,269,349,350,339,239,239,289,239,349,,259,289,339,239
Y,499,459,499,449,449,499,499,450,550,379,479,349,319,349,499,550,499,319,329,449,459,499,,329,449,499,319
Y,349,239,339,289,289,349,339,240,350,249,239,269,229,269,349,350,339,229,229,289,239,349,,249,289,339,229
Y,499,459,499,449,449,499,499,450,550,419,459,339,299,339,499,550,499,299,319,449,459,499,,319,449,499,299
Y,349,239,339,289,289,349,339,240,350,249,239,259,219,259,349,350,339,219,219,289,239,349,,239,289,339,219
Y,499,459,499,449,449,499,499,450,550,339,459,329,289,329,499,550,499,289,319,449,459,499,,319,449,499,289
Y,100,99,,,,100,,95,100,139,99,,,,100,100,,,,,99,100,,,,,
Y,239,239,319,269,269,239,319,260,350,259,239,259,219,259,239,350,319,219,219,269,239,239,,239,269,319,219
Y,60,25,39,,,60,39,30,50,39,25,,,,,50,39,,,,25,60,,,,39,
Y,60,25,39,,,60,39,30,50,39,25,,,,,50,39,,,,25,60,,,,39,
Y,49,40,39,,,49,39,30,50,39,40,30,30,30,49,50,39,30,30,,40,49,,30,,39,30
Y,50,99,200,200,200,50,200,75,100,99,99,50,75,50,50,100,200,75,75,200,99,50,,50,200,200,75
Y,449,419,439,389,389,449,439,400,450,319,419,289,259,289,449,450,439,259,279,389,419,449,,279,389,439,259
Y,449,419,439,389,389,449,439,400,450,299,419,319,269,319,449,450,439,269,289,389,419,449,,289,389,439,269
Y,289,249,319,359,349,289,359,335,329,319,259,289,249,249,259,325,329,239,269,369,239,289,,269,359,319,279
Y,459,429,419,479,479,459,459,450,500,399,399,359,359,359,439,500,429,319,349,479,399,459,,379,479,479,369
Y,449,409,439,389,389,449,439,420,450,349,409,299,269,299,449,450,439,269,279,389,409,449,,279,389,439,269
