Y,359,359,359,329,359
Y,579,589,589,579,589
,,,,,
Y,929,949,929,889,929
Y,1379,1369,1379,1469,1369
,,,,,
,,,,,
,,,,,
Y,899,919,899,899,899
Y,1349,1339,1349,1349,1339
Y,809,829,809,809,809
Y,1249,1239,1249,1249,1239
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,429,449,429,,449
Y,649,649,649,,649
Y,389,399,389,399,389
Y,629,639/649,629,619/629,629/639
,,,,,
,,,,,
Y,469,469,469,459,469
Y,689,679/689,689,559/569,689/699
,,,,,
,,,,,
Y,439,439,419,439,419
,,,,,
Y,659,649/659,659,629/639,659/669
,,,,,
Y,139,139,139,139,139
,,,,,
,,,,,
Y,75/129,75/129,75/129,,75/129
Y,499,499,489,,489
Y,699,689,699,,679
,,,,,
,,,,,
Y,159,159,149,,149
,,,,,
,,,,,
Y,500,500,500,500,500
Y,319,319,319,,319
,,,,,
,,,,,
,,,,,
Y,519,519,519,,519
Y,739,729,739,,739
,,,,,
Y,499,499,489,,489
Y,699,689,699,,679
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,160,160,160,150,150
Y,160,160,160,150,150
Y,150,150,150,150,150
Y,160,160,160,150,150
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,559,559,559,559,559
,,,,,
Y,969,959,969,969,959
Y,250,250,250,250,250
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,50,50,50,50,50
,,,,,
,,,,,
Y,1169,1169,1169,1169,1169
,,,,,
Y,729,729,729,,729
Y,509,509,509,,509
,,,,,
Y,419,419,419,,419
Y,679,679,679,,679
,,,,,
Y,489,489,489,,489
Y,709,709,709,,709
,,,,,
Y,729,729,729,,729
Y,509,509,509,,509
,,,,,
Y,50,50,50,50,50
,,,,,
,,,,,
Y,719,719,719,719,719
Y,889,889,889,889,889
Y,1339,1339,1339,1339,1339
Y,649,649,649,649,649
Y,1049,1049,1049,1049,1049
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,40,40,40,40,40
,,,,,
,,,,,
Y,239,239,239,239,239
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,30,30,30,30,30
Y,349,349,349,349,369
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,79,79,79,79,79
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,300,300,300,300,300
,,,,,
Y,669,669,669,669,669
,,,,,
Y,1119,1109,1119,1119,1109
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,135,135,135,135,135
,,,,,
,,,,,
Y,135,135,135,135,135
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,299,299,299,299,299
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,579,569,569,579,569
Y,579,569,569,579,569
,,,,,
Y,579,569,569,579,569
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,539,529,529,539,529
Y,539,529,529,539,529
,,,,,
Y,539,529,529,539,529
,,,,,
Y,549,539,539,549,539
Y,549,539,539,549,539
Y,549,539,539,549,539
,,,,,
,,,,,
,,,,,
Y,499,489,489,499,489
Y,499,489,489,499,489
Y,499,489,489,499,489
Y,549,539,539,549,539
Y,549,539,539,549,539
Y,549,539,539,549,539
,,,,,
Y,499,489,489,499,489
Y,499,489,489,499,489
,,,,,
Y,499,489,489,499,489
,,,,,
Y,509,499,499,509,499
Y,509,499,499,509,499
,,,,,
,,,,,
,,,,,
,,,,,
Y,499,489,489,499,489
Y,499,489,489,499,489
Y,499,489,489,499,489
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,149,149,149,149,149
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,99,99,99,99,99
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,60,60,60,,60
,,,,,
Y,,,,159,
Y,,,,159,
Y,30,30,30,30,30
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,,,,129,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,349,369,349,359,349
Y,389,399,389,419,389
,,,,,
Y,389,399,389,419,389
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Y,369,369,369,369,369
Y,500,500,500,500,500
,,,,,
,,,,,
Y,0,0,0,0,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
