Y,119,119,,119,,,,,,,,,,,,,,,,,,,,,,,,,119,
Y,379,379,359,379,359,359,369,379,379,359,389,389,359,359,359,369,379,369,379,359,389,379,,369,369,389,359,379,379,359
Y,499,499,489,499,479,459,559,499,559,479,549,549,459,429,459,529,479,549,549,499,449,539,,499,519,449,489,519,499,489
Y,139,139,139,139,139,139,100,139,100,139,100,100,139,139,139,100,139,100,100,139,129,100,,139,139,129,139,139,139,139
Y,100,100,149,100,149,149,149,149,149,149,149,149,139,139,149,149,149,149,149,149,149,149,,149,149,149,149,149,100,149
Y,139,139,149,139,149,149,149,149,149,149,149,149,139,139,149,149,149,149,149,149,149,149,,149,149,149,149,149,139,149
Y,139,139,149,139,149,149,149,149,149,149,149,149,139,139,149,149,149,149,149,149,149,149,,149,149,149,149,149,139,149
Y,829,829,,829,,699,849,,849,,849,,,,699,849,,849,849,,,849,,,,,,,829,
Y,719,719,,719,,485,694,,694,,694,,,,485,694,,694,694,,,694,,,,,,,719,
Y,139,139,139,139,139,139,100,139,100,139,100,100,139,139,139,100,139,100,100,139,129,100,,139,139,129,139,139,139,139
Y,100,100,149,100,149,149,149,149,149,149,149,149,139,139,149,149,149,149,149,149,149,149,,149,149,149,149,149,100,149
Y,139,139,149,139,149,149,149,149,149,149,149,149,139,139,149,149,149,149,149,149,149,149,,149,149,149,149,149,139,149
Y,139,139,149,139,149,149,149,149,149,149,149,149,139,139,149,149,149,149,149,149,149,149,,149,149,149,149,149,139,149
Y,39,39,40,39,40,,40,40,40,40,40,40,40,,,40,40,40,40,40,30,40,,40,40,30,40,40,39,40
Y,39,39,40,39,40,,40,40,40,40,40,40,40,,,40,40,40,40,,30,40,,40,40,30,40,40,39,30
Y,199,199,189,199,179,189,199,189,199,179,199,199,229,169,189,219,179,199,199,189,179,199,,179,199,179,179,199,199,189
Y,139,139,139,139,139,139,100,139,100,139,100,100,139,139,139,100,139,100,100,139,129,100,,139,139,129,139,139,139,139
Y,100,100,149,100,149,149,149,149,149,149,149,149,139,139,149,149,149,149,149,149,149,149,,149,149,149,149,149,100,149
Y,139,139,149,139,149,149,149,149,149,149,149,149,139,139,149,149,149,149,149,149,149,149,,149,149,149,149,149,139,149
Y,139,139,149,139,149,149,149,149,149,149,149,149,139,139,149,149,149,149,149,149,149,149,,149,149,149,149,149,139,149
Y,579,579,559,579,529,479,489,499,529,579,549,579,519,529,479,549,529,529,519,549,529,529,,579,549,529,589,529,579,519
Y,68,68,60,68,60,68,68,68,68,60,68,68,,60,68,68,60,68,68,68,68,68,,60,60,68,60,60,68,68
Y,29,29,,29,,,,,,,,,,,,,,,,,30,,,,,30,,,29,
Y,25,25,,25,,,,,,,,,40,20,,,,,,,50,,,,,50,,,25,
Y,19,19,30,19,30,,,30,,30,,,20,25,15,,30,,,30,30,,,30,30,30,30,30,19,30
Y,35,35,40,35,40,80,50,,50,40,50,50,50,,80,50,40,50,50,,50,50,,40,40,50,40,40,35,
Y,100,100,,100,,,,,,,,,,,,,,,,,50,,,,,50,,,100,
Y,139,139,,139,,,31,,31,,31,31,,,,31,,31,31,,50,31,,,,50,,,139,
Y,139,139,,139,,50,42,,42,,42,42,139,,50,42,,42,42,,50,42,,,,50,,,139,
Y,469,469,499,469,479,,479,459,489,499,499,,489,459,,519,479,449,479,499,519,489,,499,489,519,439,489,469,479
Y,59,59,50,59,50,40,60,50,60,50,60,60,40,50,40,60,50,60,60,50,15,60,,50,50,15,50,50,59,50
Y,2399,2399,,2399,,,,,,,,,,,,,,,,,,,,,,,,,2399,
Y,489,489,599,489,599,335,519,599,519,599,519,379,549,285,335,519,599,519,519,589,349,519,,599,599,349,599,599,489,599
Y,679,679,699,679,699,485,619,689,619,699,619,499,699,679,485,619,699,619,619,689,579,619,,699,699,579,689,689,679,699
Y,289,289,189,289,189,189,189,189,189,189,189,189,219,239,189,189,189,189,189,189,189,189,,189,189,189,189,189,289,189
Y,359,359,189,359,189,189,189,189,189,189,189,189,239,259,189,189,189,189,189,189,189,189,,189,189,189,189,189,359,189
Y,289,289,189,289,189,189,189,189,189,189,189,189,219,239,189,189,189,189,189,189,189,189,,189,189,189,189,189,289,189
Y,359,359,189,359,189,189,189,189,189,189,189,189,239,259,189,189,189,189,189,189,189,189,,189,189,189,189,189,359,189
