any,1723,1909,1993,2808,3454,3545,3809,4830,5157,5312,5367,6153,6863,6996,7189,7526,7638,8266,10169,10620,10944,11264,11378,11444,12334,13685,16707,20875,22665,24273,26530,32479,35292
Y,169,189,189,199,199,179,189,169,169,169,179,179,179,189,199,169,169,179,179,179,,169,169,179,179,169,,179,179,169,169,179,169
Y,29,49,29,25,25,39,49,25,25,25,39,29,29,40,25,25,40,29,40,29,,25,25,29,29,25,,40,29,40,25,39,39
Y,39,39,39,39,39,39,39,39,39,39,39,39,39,,39,39,,39,,39,,39,39,39,39,39,,,39,,39,39,39
Y,519,,509,,,489,,419,,,499,509,509,689,399,419,689,519,689,519,,,,509,519,419,,689,509,689,419,499,499
Y,169,139,169,239,239,149,139,239,239,239,149,169,169,139,239,239,139,169,139,169,,239,239,169,169,239,,139,169,139,239,159,169
Y,319,319,319,369,369,299,319,369,369,369,299,319,319,359,369,369,359,319,359,319,,369,369,319,319,369,,369,319,359,369,299,299
Y,539,459,539,579,579,559,499,569,569,569,559,539,539,569,579,569,569,539,569,539,,569,569,539,539,569,,569,539,569,569,549,549
Y,100,139,100,139,139,129,139,139,139,139,129,100,100,129,139,139,129,100,129,100,,139,139,100,100,139,,129,100,129,139,129,129
Y,149,169,169,159,159,159,169,149,149,149,149,159,159,169,159,149,149,159,159,159,,149,149,159,159,149,,159,159,149,149,159,149
Y,159,179,179,189,189,169,179,159,159,159,169,169,169,179,189,159,159,169,169,169,,159,159,169,169,159,,169,169,159,159,169,159
Y,169,189,189,199,199,179,189,169,169,169,179,179,179,189,199,169,169,179,179,179,,169,169,179,179,169,,179,179,169,169,179,169
Y,100,139,100,139,139,129,139,139,139,139,129,100,100,129,139,139,129,100,129,100,,139,139,100,100,139,,129,100,129,139,129,129
Y,149,169,169,159,159,159,169,149,149,149,149,159,159,169,159,149,149,159,159,159,,149,149,159,159,149,,159,159,149,149,159,149
Y,159,179,179,189,189,169,179,159,159,159,169,169,169,179,189,159,159,169,169,169,,159,159,169,169,159,,169,169,159,159,169,159
Y,169,189,189,199,199,179,189,169,169,169,179,179,179,189,199,169,169,179,179,179,,169,169,179,179,169,,179,179,169,169,179,169
Y,30,30,30,10,10,20,30,10,10,10,20,30,30,30,10,10,30,30,,30,,10,10,30,30,10,,,30,30,10,20,20
Y,30,30,30,10,10,20,30,10,10,10,20,30,30,50,10,10,50,30,50,30,,10,10,30,30,10,,50,30,50,10,20,20
Y,219,149,219,189,189,189,179,189,189,189,189,219,219,199,189,189,199,219,199,219,,189,189,219,219,189,,199,219,199,189,199,189
Y,100,139,100,139,139,129,139,139,139,139,129,100,100,129,139,139,129,100,129,100,,139,139,100,100,139,,129,100,129,139,129,129
Y,149,169,169,159,159,159,169,149,149,149,149,159,159,169,159,149,149,159,159,159,,149,149,159,159,149,,159,159,149,149,159,149
