Y,1480,1430,1465
Y,510,510,545
Y,1110,1105,1160
Y,1190,1185,1240
Y,540,535,550
Y,1830,1755,1810
Y,1895,1895,1895
Y,2440,2350,2440
Y,600,585,630
Y,2680,2590,2610
Y,2610,2540,2600
Y,930,895,965
Y,1555,1485,1490
Y,1645,1575,1580
Y,1085,1030,1090
Y,1590,1490,1530
Y,1670,1570,1610
Y,1760,1660,1700
Y,515,490,495
Y,575,550,550
Y,620,595,610
Y,75,80,80
Y,650,625,675
Y,680,655,725
Y,650,625,675
Y,680,655,725
Y,650,625,675
Y,680,655,725
Y,20,20,20
Y,605,590,625
Y,725,700,700
Y,1475,1405,1410
Y,1050,1000,1035
Y,1510,1460,1470
Y,1590,1540,1550
Y,1680,1630,1640
Y,75,100,75
Y,1995,1995,1995
Y,480,465,485
Y,1995,1995,1995
Y,390,370,420
Y,1995,1995,1995
Y,390,370,420
Y,1995,1995,1995
Y,480,435,460
Y,480,435,460
Y,390,370,420
Y,1995,1995,1995
Y,390,370,420
Y,480,435,460
Y,480,435,460
Y,50,50,50
Y,510,510,545
Y,510,510,545
Y,510,510,545
Y,510,510,545
Y,50,50,50
Y,185,185,190
Y,1180,1050,1095
Y,1260,1130,1175
Y,1350,1220,1265
Y,450,485,495
Y,130,130,130
Y,130,130,130
Y,130,130,130
Y,200,200,200
Y,190,215,215
Y,375,380,370
Y,250,250,250
Y,465,445,465
Y,510,485,510
Y,565,545,555
Y,465,445,465
Y,510,485,510
Y,565,545,555
Y,465,445,465
Y,510,485,510
Y,565,545,555
Y,465,445,465
Y,510,485,510
Y,565,545,555
Y,385,335,375
Y,395,355,400
Y,385,335,375
Y,510,475,485
Y,580,535,540
Y,615,585,640
Y,475,455,470
Y,530,520,525
Y,610,565,575
Y,515,470,490
Y,585,545,570
Y,650,595,615
Y,540,500,510
Y,575,575,575
Y,135,125,140
Y,1840,1820,1840
Y,620,600,610
Y,255,245,250
Y,335,325,295
Y,420,400,450
Y,420,400,450
Y,420,400,450
Y,420,400,450
Y,500,510,500
Y,1995,1995,1995
Y,1995,1995,1995
Y,1995,1995,1995
Y,1995,1995,1995
Y,1995,1995,1995
Y,1995,1995,1995
Y,480,455,480
Y,480,455,480
Y,550,505,510
Y,480,455,480
Y,480,455,480
Y,500,490,495
Y,250,240,255
Y,465,450,455
