any,1157,1553,1841,1872,2557,3015,3021,3852,4363,6373,6830,8031,10092,10688,10982,11335,12233,12242,12751,14325,14670,14960,15795,17552,22198,23316,24998,26456
Y,659,609,619,659,569,659,659,599,,619,619,649,659,639,659,659,659,659,639,569,659,659,619,659,599,,659,
Y,659,629,599,659,569,659,659,599,,599,599,639,659,619,659,659,659,659,619,569,659,659,599,659,599,,659,
Y,569,549,479,569,489,569,569,499,,499,519,619,569,579,569,569,569,569,519,489,569,569,519,569,489,,569,
Y,229,229,229,229,269,229,229,279,,269,249,229,229,150,229,229,229,229,249,269,229,229,269,229,269,,229,
Y,79,69,69,79,69,79,79,69,,69,70,,79,40,79,79,79,79,69,69,79,79,69,79,69,,79,
Y,319,299,319,319,299,319,319,319,,319,319,339,319,289,319,319,319,319,319,299,319,319,319,319,319,,319,
Y,300,359,329,300,349,300,300,349,,329,339,300,300,489,300,300,300,300,349,349,300,300,349,300,349,,300,
Y,719,669,669,719,569,719,719,669,,669,669,729,719,689,719,719,719,719,669,569,719,719,659,719,659,,719,
Y,1089,899,899,1089,859,1089,1089,899,,899,899,999,1089,999,1089,1089,1089,1089,899,839,1089,1089,899,1089,919,,1089,
Y,1059,839,859,1059,869,1059,1059,859,,859,859,939,1059,1019,1059,1059,1059,1059,859,849,1059,1059,869,1059,859,,1059,
Y,1059,839,839,1059,849,1059,1059,829,,839,839,939,1059,1019,1059,1059,1059,1059,839,839,1059,1059,849,1059,859,,1059,
Y,119,,,119,159,119,119,,,,,169,119,119,119,119,119,119,,169,119,119,,119,,,119,
Y,199,239,219,199,229,199,199,229,,219,219,199,199,259,199,199,199,199,229,229,199,199,229,199,229,,199,
Y,219,,,219,,219,219,,,,,199,219,,219,219,219,219,,,219,219,,219,,,219,
Y,239,219,219,239,229,239,239,219,,219,219,199,239,229,239,239,239,239,219,229,239,239,219,239,199,,239,
Y,259,239,239,259,259,259,259,239,,239,239,199,259,249,259,259,259,259,249,259,259,259,239,259,199,,259,
Y,129,119,119,129,119,129,129,119,,119,119,139,129,100,129,129,129,129,119,119,129,129,119,129,119,,129,
Y,159,149,149,159,149,159,159,149,,149,159,139,159,149,159,159,159,159,149,159,159,159,149,159,139,,159,
